word
은
는
이
가
을
를
에
에서
에게
으로
으로서
로
보다
까지
부터
만
조차
마저
도
과
와
하고
및
그
저
것
수
등
처럼
그리고
그러나
그래서
하지만
혹은
또는
또
또한
따라서
그러므로
아
어
음
에휴
허허
하하
야
자
