어휘,등급
쫑긋,3
쫑긋쫑긋,3
쫑알거리다,3
쬐다,3
쭈그러지다,3
쭈그리다,3
쭈글쭈글하다,3
찌들다,3
찐득찐득하다,3
찜,3
찝찝하다,3
차,3
차단되다,3
차려입다,3
차마,3
차오르다,3
차차,3
차창,3
차표,3
착,3
착륙하다,3
착실하다,3
찬란하다,3
찬밥,3
찬송가,3
찬양하다,3
찬찬히,3
참가비,3
참가자,3
참견하다,3
참나무,3
참되다,3
참말로,3
참석자,3
참으로,3
참전하다,3
참조하다,3
찹쌀,3
찹쌀떡,3
찻잔,3
창구,3
창문가,3
창백하다,3
창자,3
창칼,3
창틀,3
찾아뵈다,3
채,3
채다,3
채소밭,3
채식,3
채우다,3
채집하다,3
채취하다,3
책값,3
책자,3
챔피언,3
처,3
처넣다,3
처녀,3
처량하다,3
처마,3
처박다,3
처박히다,3
처방,3
처방전,3
처방하다,3
처벌하다,3
처자식,3
처치,3
처치하다,3
처형,3
처형하다,3
척추,3
천둥소리,3
천막,3
천만다행,3
천민,3
천방지축,3
천벌,3
천생연분,3
천식,3
천연,3
천재적,3
천적,3
천하다,3
철,3
철근,3
철렁,3
철렁하다,3
철로,3
철사,3
철자,3
철조망,3
철쭉,3
철판,3
첨,3
첨가,3
첨단,3
첨벙,3
첨성대,3
첫눈,3
첫돌,3
첫발,3
청,3
청,3
청각,3
청군,3
청년,3
청록색,3
청룡,3
청색,3
청소년기,3
청소부,3
청자,3
청하다,3
체계,3
체구,3
체념,3
체념하다,3
체면,3
체육부,3
체인,3
체중계,3
체포되다,3
체하다,3
첼로,3
쳐주다,3
초,3
초가,3
초고속,3
초과,3
초과되다,3
초과하다,3
초급,3
초대되다,3
초록빛,3
초롱초롱하다,3
초반,3
초밥,3
초보자,3
초소,3
초승달,3
초식,3
초월,3
초음파,3
초인종,3
초저녁,3
초조,3
초창기,3
초청하다,3
초파리,3
촉각,3
촉감,3
촌,3
촘촘하다,3
촘촘히,3
촛대,3
총각,3
총격,3
총리,3
총명하다,3
총살,3
총소리,3
총총,3
총칼,3
총탄,3
최강,3
최고급,3
최고봉,3
최소한,3
최우선,3
추,3
추가되다,3
추격,3
추격하다,3
추구,3
추리,3
추리하다,3
추모,3
추석날,3
추수하다,3
추적하다,3
추천되다,3
축구팀,3
축구화,3
축복하다,3
축소,3
축소되다,3
축소하다,3
출국,3
출근길,3
출몰하다,3
출발선,3
출생,3
출석부,3
출세,3
출입구,3
출전하다,3
출처,3
출판,3
출판사,3
출판하다,3
춤곡,3
충고하다,3
충남,3
충북,3
충성,3
충성스럽다,3
충성하다,3
충실히,3
충전하다,3
충청남도,3
충청도,3
충청북도,3
충치,3
취급,3
취업하다,3
취재하다,3
취직되다,3
취침,3
취하다,3
측정,3
측정되다,3
측정하다,3
치다,3
치다,3
치다,3
치료되다,3
치료법,3
치르다,3
치매,3
치수,3
치우치다,3
치켜세우다,3
치키다,3
친가,3
친근감,3
친동생,3
친목,3
친밀감,3
친밀하다,3
친부모,3
친아들,3
친일파,3
친절히,3
친할머니,3
친할아버지,3
친형,3
친형제,3
칠면조,3
침낭,3
침략,3
침략하다,3
침몰,3
침몰하다,3
침묵하다,3
침범,3
침범하다,3
침입,3
침입하다,3
침투,3
침팬지,3
칩,3
칭얼거리다,3
칭칭,3
카네이션,3
카드놀이,3
카리스마,3
카세트,3
카페인,3
카펫,3
카피,3
칼라,3
칼싸움,3
캐내다,3
캐릭터,3
캐묻다,3
캐스터네츠,3
캠퍼스,3
캠페인,3
커트,3
커플,3
케첩,3
켜,3
코끝,3
코드,3
코털,3
코트,3
코팅,3
코흘리개,3
콘도,3
콘센트,3
콤플렉스,3
콧구멍,3
콧노래,3
콧등,3
콧수염,3
콩나물국,3
콩떡,3
콩자반,3
콩콩,3
콱,3
쿠션,3
쿠키,3
쿵쾅,3
쿵쿵,3
크레인,3
크리스마스이브,3
크림빵,3
큰기침,3
큰누나,3
큰따옴표,3
큰북,3
큰소리치다,3
큰아버님,3
큰어머님,3
큰언니,3
큰오빠,3
큰집,3
큰형,3
클래식,3
클로버,3
클립,3
킁킁거리다,3
키,3
키다리,3
키스하다,3
킥,3
킬로그램,3
타다,3
타령,3
타원형,3
타이,3
타이르다,3
타이밍,3
타이틀,3
타임머신,3
타입,3
타자,3
타협,3
타협하다,3
탁구장,3
탁월하다,3
탁하다,3
탄산음료,3
탄생되다,3
탄수화물,3
탄탄하다,3
탈,3
탈것,3
탈춤,3
탐,3
탐구심,3
탐방,3
탐사,3
탐색,3
탐색하다,3
탐스럽다,3
탐험,3
탐험하다,3
탑승,3
탕,3
탕,3
태권,3
태아,3
태평양,3
택하다,3
탱탱,3
터,3
터,3
터놓다,3
터덜터덜,3
터득하다,3
터전,3
턱걸이,3
털리다,3
털보,3
털실,3
테러,3
테마,3
텍스트,3
토,3
토기,3
토닥토닥,3
토론자,3
토론하다,3
토론회,3
토스트,3
토실토실하다,3
토의하다,3
토종,3
톡톡,3
톤,3
톨,3
톨게이트,3
톱,3
톱,3
통,3
통,3
통곡하다,3
통과되다,3
통나무,3
통신문,3
통역,3
통역하다,3
통제,3
통제되다,3
통제하다,3
통지,3
통틀다,3
통합되다,3
통합하다,3
통행,3
통화,3
퇴근길,3
퇴비,3
퇴장하다,3
퇴직하다,3
투덜거리다,3
투덜투덜,3
투수,3
투자,3
투쟁,3
투쟁하다,3
투정,3
툭하면,3
퉁명스럽다,3
퉤,3
퉤퉤,3
튤립,3
트다,3
트랙터,3
트럼펫,3
트로피,3
트림,3
트이다,3
특강,3
특공대,3
특급,3
특별시,3
특색,3
특수하다,3
틀어막다,3
틀어박히다,3
틔다,3
티끌,3
팁,3
파,3
파격적,3
파랑새,3
파래지다,3
파마,3
파먹다,3
파멸,3
파묻다,3
파손되다,3
파스텔,3
파악되다,3
파악하다,3
파업,3
파울,3
파이,3
파이프,3
파전,3
파충류,3
파트,3
파트너,3
팍팍,3
판결,3
판단되다,3
판매원,3
판사,3
판소리,3
판자,3
판정,3
판화,3
팔걸이,3
팔꿈치,3
팔랑팔랑하다,3
팔목,3
팔아먹다,3
팔자,3
팔팔하다,3
팡팡,3
팥,3
팥빵,3
패,3
패다,3
패배하다,3
패자,3
패턴,3
패하다,3
팽개치다,3
팽이버섯,3
팽이치기,3
팽팽하다,3
퍼렇다,3
퍼트리다,3
퍽퍽,3
펄럭이다,3
펑크,3
펑펑,3
페이지,3
펴놓다,3
편견,3
편들다,3
편리,3
편안,3
편지하다,3
편집,3
편집하다,3
편찮다,3
평,3
평,3
평가되다,3
평균,3
평면,3
평민,3
평상,3
평상복,3
평안하다,3
평야,3
평온하다,3
평평하다,3
평하다,3
평화적,3
폐,3
폐교,3
폐쇄,3
폐지되다,3
폐지하다,3
폐하,3
포대기,3
포도주,3
포동포동,3
포로,3
포수,3
포옹,3
포용하다,3
포위,3
포위하다,3
포인트,3
포장,3
포장되다,3
포장되다,3
폭격,3
폭넓다,3
폭력적,3
폭발물,3
폭발적,3
폭설,3
폭신폭신,3
폭신하다,3
폭파,3
폭파되다,3
폭파하다,3
폭포수,3
폭풍우,3
퐁당,3
표기,3
표기하다,3
표류하다,3
표본,3
표시되다,3
표어,3
표적,3
표준,3
표준말,3
표준어,3
표창장,3
표현되다,3
푯말,3
푸,3
푸드덕,3
푸르르다,3
푸르스름하다,3
푸른빛,3
푸릇푸릇,3
푸릇푸릇하다,3
푼,3
풀꽃,3
풀뿌리,3
풀숲,3
풀어내다,3
풀어헤치다,3
풀이하다,3
풀잎,3
풀장,3
풀풀,3
품위,3
품종,3
품질,3
풍년,3
풍덩,3
풍뎅이,3
풍랑,3
풍습,3
풍차,3
프라이팬,3
프랑스,3
프로,3
프로젝트,3
프로펠러,3
프린터,3
플래시,3
플러그,3
피난,3
피난민,3
피난하다,3
피라미드,3
피로감,3
피로하다,3
피멍,3
피부색,3
피시,3
피시방,3
피식,3
피신하다,3
피어오르다,3
피클,3
핀셋,3
필기구,3
필름,3
필수품,3
필터,3
하계,3
하교하다,3
하기야,3
하녀,3
하늘빛,3
하다못해,3
하락,3
하루아침,3
하류,3
하모니카,3
하산,3
하수,3
하수도,3
하위권,3
하이라이트,3
하찮다,3
하천,3
하체,3
하키,3
학비,3
학생회,3
학생회장,3
학예회,3
학용품,3
한,3
한가롭다,3
한가지,3
한결같다,3
한계,3
한국적,3
한군데,3
한글날,3
한낮,3
한눈,3
한눈팔다,3
한데,3
한둘,3
한라산,3
한몫,3
한민족,3
한반도,3
한발,3
한방,3
한산하다,3
한술,3
한식,3
한식,3
한의사,3
한의원,3
한의학,3
한인,3
한자어,3
한잔,3
한정되다,3
한집,3
한층,3
할머님,3
할멈,3
할아버님,3
함,3
함박눈,3
함성,3
합동,3
합법적,3
합성,3
합세하다,3
합심하다,3
합주,3
합창하다,3
항공,3
항공기,3
항구,3
항목,3
항복,3
항해,3
항해하다,3
해결사,3
해고,3
해군,3
해녀,3
해독,3
해돋이,3
해마,3
해방,3
해방되다,3
해병대,3
해부,3
해부하다,3
해산물,3
해산하다,3
해상,3
해석되다,3
해설자,3
해설하다,3
해안가,3
해안선,3
해일,3
해장국,3
해저,3
해충,3
핵,3
핵심적,3
햅쌀,3
햇곡식,3
햇과일,3
행,3
행동거지,3
행성,3
행인,3
행진곡,3
행진하다,3
행하다,3
향상,3
향상되다,3
허가되다,3
허가하다,3
허공,3
허덕이다,3
허둥지둥,3
허락되다,3
허름하다,3
허무,3
허무하다,3
허물,3
허세,3
허술하다,3
허약하다,3
허용,3
허용되다,3
허용하다,3
허우적거리다,3
허파,3
허허,3
헉헉,3
헌신,3
헌책,3
헌혈,3
헐값,3
헐다,3
헐떡거리다,3
헐뜯다,3
헐렁하다,3
험상궂다,3
헛되다,3
헛디디다,3
헛소문,3
헛수고,3
헝클어지다,3
헤,3
헤다,3
헤어나다,3
헤엄,3
헬기,3
헬멧,3
헬스,3
혀끝,3
현,3
현기증,3
현란하다,3
현명하다,3
현미,3
현미경,3
현수막,3
현실적,3
현충일,3
혈압,3
혈액,3
혈액형,3
혐오하다,3
협동심,3
협정,3
협회,3
형광등,3
형벌,3
형사,3
형성,3
형제간,3
형제자매,3
형체,3
형태,3
형편,3
형편없다,3
호,3
호감,3
호강,3
호되다,3
호두,3
호두과자,3
호떡,3
호루라기,3
호박전,3
호박죽,3
호소,3
호숫가,3
호위,3
호응,3
호주,3
호주머니,3
호출,3
호출하다,3
호칭,3
호탕하다,3
호통,3
호프,3
호화롭다,3
호흡기,3
호흡하다,3
혹평,3
혼동,3
혼동하다,3
혼례,3
혼미하다,3
혼인,3
혼인하다,3
혼잡하다,3
혼쭐,3
혼합,3
혼합되다,3
홀,3
홀가분하다,3
홀랑,3
홀짝홀짝,3
홈,3
홍,3
홍당무,3
홍시,3
홍차,3
화끈,3
화끈거리다,3
화끈하다,3
화단,3
화들짝,3
화력,3
화로,3
화목,3
화물,3
화물차,3
화보,3
화사하다,3
화음,3
화장대,3
화장하다,3
화창하다,3
화채,3
화초,3
화풀이,3
화풀이하다,3
화합,3
화합하다,3
확고하다,3
확대,3
확률,3
확산,3
확산되다,3
확성기,3
확장,3
확장되다,3
확장하다,3
확정,3
확정하다,3
확확,3
환경미화원,3
환경적,3
환불,3
환장하다,3
환호,3
환호하다,3
환히,3
활달하다,3
활동적,3
활력,3
활쏘기,3
활약,3
활약하다,3
활용되다,3
홧김,3
황금빛,3
황새,3
황폐하다,3
황후,3
횃불,3
회관,3
회비,3
회상,3
회상하다,3
회색빛,3
회오리,3
회원,3
회의장,3
회전문,3
회전하다,3
회초리,3
회피하다,3
획,3
획득하다,3
횟집,3
횡단,3
횡설수설,3
횡설수설하다,3
효녀,3
효심,3
후각,3
후계자,3
후끈후끈하다,3
후덥지근하다,3
후들거리다,3
후들후들,3
후려치다,3
후렴,3
후문,3
후보자,3
후비다,3
후세,3
후식,3
후줄근하다,3
후진,3
후진국,3
후진하다,3
후텁지근하다,3
후회되다,3
훈련되다,3
훈련소,3
훈민정음,3
훈장,3
훈화,3
훈훈하다,3
훌러덩,3
훌훌,3
훑어보다,3
훔쳐보다,3
훗날,3
훤히,3
훨훨,3
훼방,3
훼손,3
휘둘리다,3
휘둥그레지다,3
휘몰아치다,3
휘어잡다,3
휘어지다,3
휘청거리다,3
휩쓸다,3
휩쓸리다,3
휭,3
휴업,3
휴전선,3
흉년,3
흉보다,3
흉악하다,3
흉하다,3
흉흉하다,3
흐느끼다,3
흐느적거리다,3
흐물흐물,3
흐지부지,3
흐흐,3
흑흑,3
흔들의자,3
흔들흔들,3
흔쾌히,3
흘겨보다,3
흘깃,3
흘깃흘깃,3
흘끔,3
흘끔흘끔,3
흘끗,3
흘러들다,3
흘러오다,3
흙더미,3
흙먼지,3
흙바닥,3
흙집,3
흙투성이,3
흠,3
흠뻑,3
흠집,3
흡수,3
흡수되다,3
흡수하다,3
흡족하다,3
흥얼거리다,3
흥하다,3
흩날리다,3
희귀하다,3
희망자,3
희뿌옇다,3
흰나비,3
히,3
히터,3
히트,3
힐끔,3
힐끔거리다,3
힐끔힐끔,3
힐끗,3
힘겨루기,3
힘들이다,3
힘입다,3
가건물,4
가계,4
가곡,4
가곡집,4
가공되다,4
가공식품,4
가공업,4
가공하다,4
가관,4
가구점,4
가급적,4
가냘프다,4
가녀리다,4
가느스름하다,4
가늠,4
가늠하다,4
가담하다,4
가동,4
가동되다,4
가득히,4
가뜩하다,4
가락,4
가락가락,4
가랑잎,4
가련하다,4
가령,4
가로놓이다,4
가로대,4
가로젓다,4
가루받이,4
가루비누,4
가루우유,4
가리개,4
가리비,4
가림막,4
가마,4
가마,4
가면극,4
가명,4
가무스름하다,4
가물가물,4
가물거리다,4
가보,4
가봉,4
가산,4
가상,4
가설,4
가세하다,4
가소롭다,4
가속도,4
가솔린,4
가스관,4
가스버너,4
가스보일러,4
가스오븐레인지,4
가슴둘레,4
가슴뼈,4
가시덤불,4
가시덩굴,4
가시밭,4
가시밭길,4
가업,4
가없다,4
가열,4
가열되다,4
가열하다,4
가엾이,4
가오리연,4
가요계,4
가운뎃다리,4
가운뎃손가락,4
가위질,4
가을걷이,4
가을맞이,4
가을배추,4
가을벌레,4
가을볕,4
가을비,4
가이,4
가입자,4
가자미,4
가장무도회,4
가장하다,4
가전제품,4
가정,4
가정생활,4
가정일,4
가정하다,4
가족계획,4
가족법,4
가족애,4
가죽신,4
가죽점퍼,4
가지치기,4
가짓수,4
가차,4
가책,4
가축우리,4
가치관,4
가톨릭교,4
가하다,4
가혹,4
가혹하다,4
각계각층,4
각국,4
각기,4
각기둥,4
각도기,4
각막,4
각별하다,4
각별히,4
각부,4
각뿔,4
각서,4
각설탕,4
각시방,4
각양각색,4
각하,4
간간이,4
간결하다,4
간곡하다,4
간곡히,4
간곳없이,4
간단명료하다,4
간담,4
간담회,4
간당간당,4
간들간들,4
간략히,4
간밤,4
간석지,4
간소하다,4
간소화되다,4
간소화하다,4
간신배,4
간암,4
간염,4
간이,4
간장,4
간장독,4
간질간질하다,4
간척지,4
간첩,4
간첩선,4
간청하다,4
간파,4
간파하다,4
간헐적,4
갈고리,4
갈기,4
갈등하다,4
갈래갈래,4
갈무리,4
갈무리하다,4
갈채,4
갈퀴,4
감각적,4
감금,4
감금되다,4
감내하다,4
감독관,4
감량,4
감면,4
감미롭다,4
감미료,4
감사패,4
감상,4
감색,4
감소되다,4
감속,4
감수성,4
감수하다,4
감시원,4
감옥신세,4
감자조림,4
감전되다,4
감점,4
감정,4
감초,4
감촉,4
감축,4
감치다,4
감칠맛,4
감탄사,4
감행하다,4
갑작스레,4
갑질,4
갑판,4
값나가다,4
값있다,4
강경하다,4
강낭콩,4
강단,4
강대하다,4
강도,4
강둑,4
강바닥,4
강바람,4
강세,4
강수량,4
강습회,4
강압,4
강압적,4
강연회,4
강요,4
강요받다,4
강우량,4
강자,4
강점기,4
강제성,4
강좌,4
강줄기,4
강철판,4
강추위,4
강타하다,4
강풍,4
강행하다,4
개과천선,4
개관식,4
개교일,4
개교하다,4
개구리밥,4
개국,4
개떡,4
개똥밭,4
개막되다,4
개명,4
개미핥기,4
개방,4
개방되다,4
개방적,4
개별,4
개봉,4
개봉되다,4
개선,4
개선되다,4
개선하다,4
개설하다,4
개시하다,4
개신교,4
개연성,4
개울물,4
개의하다,4
개인별,4
개인전,4
개인전,4
개인주의,4
개인차,4
개입,4
개입하다,4
개장사,4
개정,4
개정되다,4
개정하다,4
개찰구,4
개척되다,4
개척자,4
개천,4
개천가,4
개체,4
개최,4
개최지,4
개키다,4
개털,4
개통,4
개펄,4
개편,4
개표,4
개표소,4
개항,4
개헌,4
개혁,4
개혁하다,4
개화,4
개화기,4
개화파,4
개회,4
개회식,4
객관,4
객관적,4
갤러리,4
갯마을,4
갯지렁이,4
갱신,4
갸륵하다,4
갸륵히,4
갸름하다,4
갸웃하다,4
거꾸러지다,4
거닐다,4
거동,4
거드럭거리다,4
거들먹거리다,4
거듭,4
거듭나다,4
거듭되다,4
거듭하다,4
거란,4
거래,4
거래되다,4
거래하다,4
거론되다,4
거룩하다,4
거룩히,4
거름기,4
거름종이,4
거름통,4
거름흙,4
거리거리,4
거리낌,4
거무스름하다,4
거무죽죽하다,4
거무튀튀하다,4
거문고,4
거문고자리,4
거뭇거뭇,4
거봐라,4
거부권,4
거사,4
거세지다,4
거울삼다,4
거저먹기,4
거적,4
거점,4
거중기,4
거즈,4
거짓되다,4
거짓말투성이,4
거참,4
거창하다,4
거추장스럽다,4
거침없이,4
걱정스레,4
건강식,4
건강식품,4
건너다니다,4
건너다보다,4
건너서다,4
건너지르다,4
건널목,4
건넛마을,4
건넛집,4
건달,4
건들건들,4
건립,4
건립하다,4
건설업,4
건설업자,4
건수,4
건어물,4
건의하다,4
건장하다,4
건전하다,4
건조,4
건조기,4
건조대,4
건조제,4
건초,4
건축되다,4
건축미,4
건축사,4
건축술,4
건축업,4
건포도,4
걷어붙이다,4
걷어치우다,4
걸그물,4
걸레질하다,4
걸리다,4
걸리적거리다,4
걸맞다,4
걸쇠,4
걸작,4
검댕,4
검도,4
검둥개,4
검둥이,4
검문,4
검문소,4
검불,4
검붉다,4
검사,4
검사기,4
검산,4
검산하다,4
검색어,4
검색하다,4
검소하다,4
검역,4
검은깨,4
검정깨,4
검정말,4
검정콩,4
검증,4
검증하다,4
검찰청,4
검출되다,4
검푸르다,4
겅중겅중,4
겉감,4
겉껍질,4
겉넓이,4
겉면,4
게거품,4
게시,4
게시되다,4
게시물,4
게시하다,4
게양대,4
게양되다,4
게을리,4
게이트,4
겨드랑,4
겨레말,4
겨루기,4
겨를,4
겨울나기,4
겨울눈,4
겨울비,4
겨울새,4
겨자씨,4
격렬하다,4
격리,4
격리되다,4
격분하다,4
격언,4
격전,4
격전지,4
격조,4
격퇴하다,4
격투,4
격투,4
격투하다,4
견문,4
견우,4
견적,4
견제,4
견주다,4
견직물,4
견해,4
결단력,4
결론짓다,4
결리다,4
결막염,4
결백,4
결백하다,4
결사대,4
결사적,4
결산,4
결산서,4
결석생,4
결성하다,4
결속력,4
결손,4
결식,4
결의,4
결재,4
결전,4
결점,4
결정,4
결정체,4
결제,4
결투,4
결핍,4
결핍되다,4
결합되다,4
결핵,4
겸연쩍다,4
겹겹이,4
겹다,4
겹받침,4
겹집,4
경건하다,4
경계,4
경계망,4
경고문,4
경공업,4
경과,4
경관,4
경내,4
경력,4
경련,4
경례하다,4
경로,4
경로석,4
경로잔치,4
경마,4
경매,4
경보기,4
경부선,4
경비대,4
경비하다,4
경사로,4
경사면,4
경사스럽다,4
경영,4
경영자,4
경운기,4
경이롭다,4
경작,4
경작지,4
경작하다,4
경쟁력,4
경쟁심,4
경쟁적,4
경제력,4
경제면,4
경제생활,4
경지,4
경직되다,4
경찰국,4
경찰권,4
경찰청,4
경청,4
경축,4
경축하다,4
경쾌하다,4
경포대,4
경향,4
경험자,4
경호원,4
곁눈,4
계급장,4
계단식,4
계란빵,4
계란형,4
계량,4
계량기,4
계량스푼,4
계량컵,4
계몽,4
계몽하다,4
계발,4
계승되다,4
계시,4
계엄,4
계엄군,4
계엄령,4
계열,4
계절풍,4
계주,4
계집애,4
계측하다,4
계층,4
계통,4
고갈,4
고갈되다,4
고갯길,4
고갯마루,4
고갯짓,4
고교,4
고구마튀김,4
고급품,4
고기,4
고기반찬,4
고기볶음,4
고기압,4
고기잡이배,4
고깃국,4
고깃배,4
고까,4
고꾸라지다,4
고뇌,4
고누,4
고니,4
고다음,4
고도,4
고도,4
고동,4
고동색,4
고되다,4
고둥,4
고등어조림,4
고랑,4
고랭지,4
고러다,4
고렇다,4
고려,4
고려되다,4
고려자기,4
고려장,4
고려청자,4
고려하다,4
고령,4
고령토,4
고령화,4
고름,4
고리하다,4
고막,4
고모님,4
고모부님,4
고목,4
고목나무,4
고무공,4
고무관,4
고무나무,4
고무망치,4
고무보트,4
고무신짝,4
고무줄놀이,4
고무창,4
고무호스,4
고물,4
고물상,4
고뿔,4
고사,4
고산,4
고상하다,4
고서,4
고성,4
고성능,4
고스란히,4
고시,4
고심,4
고심하다,4
고안,4
고안하다,4
고온,4
고용,4
고용하다,4
고원,4
고위,4
고위급,4
고유어,4
고의,4
고이다,4
고인돌,4
고자질,4
고자질하다,4
고적,4
고정하다,4
고조되다,4
고조선,4
고주파,4
고즈넉하다,4
고지,4
고지,4
고지식하다,4
고진감래,4
고집쟁이,4
고철,4
고체,4
고쳐먹다,4
고추냉이,4
고하다,4
고함치다,4
곡류,4
곡면,4
곡명,4
곡목,4
곡소리,4
곡예,4
곡조,4
곤경,4
곤두박질,4
곤두서다,4
곤두세우다,4
곤봉,4
곤욕,4
곤장,4
곤지,4
곤하다,4
곧은길,4
곧이듣다,4
곧이어,4
곧추세우다,4
골,4
골다공증,4
골동품,4
골목대장,4
골무,4
골문,4
골뱅이,4
골수,4
골절,4
골절상,4
골판지,4
곪다,4
곯다,4
곯다,4
곯아떨어지다,4
곰보,4
곰보빵,4
곱셈표,4
곱씹다,4
공간적,4
공감대,4
공개되다,4
공고,4
공고문,4
공고히,4
공공사업,4
공공시설,4
공공연히,4
공공장소,4
공공질서,4
공과금,4
공급량,4
공급원,4
공급하다,4
공기업,4
공단,4
공동변소,4
공동생활,4
공들다,4
공략하다,4
공명,4
공명정대하다,4
공모,4
공모전,4
공무,4
공방,4
공배수,4
공복,4
공사비,4
공사판,4
공산군,4
공산주의자,4
공설,4
공세,4
공소,4
공수,4
공습,4
공식적,4
공신,4
공약수,4
공양미,4
공업국,4
공업용,4
공업용수,4
공업화,4
공연회,4
공영,4
공예품,4
공용,4
공용어,4
공원,4
공이,4
공작물,4
공적,4
공전하다,4
공정,4
공정성,4
공존,4
공존하다,4
공주병,4
공중도덕,4
공중제비,4
공증인,4
공지,4
공청회,4
공통분모,4
공판장,4
공평히,4
공포,4
공포물,4
공포심,4
공포증,4
공학,4
공학자,4
공항버스,4
공허하다,4
공헌,4
공헌하다,4
공화국,4
공황,4
공회전,4
과,4
과감성,4
과감히,4
과거,4
과녁판,4
과다하다,4
과대,4
과도,4
과도하다,4
과로하다,4
과민,4
과반수,4
과부,4
과속,4
과식,4
과식하다,4
과실,4
과실,4
과언,4
과업,4
과열,4
과열되다,4
과외하다,4
과잉,4
과즙,4
과체중,4
과학계,4
과학성,4
과학화,4
과학화되다,4
관가,4
관계,4
관계식,4
관공서,4
관광업,4
관군,4
관대하다,4
관람료,4
관람석,4
관련성,4
관련자,4
관례,4
관리되다,4
관리소,4
관리원,4
관리자,4
관목,4
관문,4
관복,4
관상용,4
관세,4
관세청,4
관습,4
관습적,4
관심거리,4
관아,4
관악,4
관악기,4
관여,4
관용어,4
관음보살,4
관절염,4
관점,4
관제,4
관제묘,4
관중석,4
관찰되다,4
관찰력,4
관찰자,4
관철,4
관측되다,4
관측소,4
관측자,4
관측하다,4
관통하다,4
관할,4
관할하다,4
관현악단,4
관형사,4
관혼상제,4
괄괄하다,4
광,4
광고비,4
광고주,4
광고지,4
광공업,4
광대뼈,4
광명,4
광물질,4
광복되다,4
광산,4
광산촌,4
광석,4
광선,4
광신,4
광야,4
광업,4
광역시,4
광원,4
광주리,4
광채,4
광택,4
광합성,4
광화문,4
광활하다,4
괘종시계,4
괭이질,4
괴다,4
괴뢰,4
괴상망측하다,4
괴상하다,4
굄돌,4
교과목,4
교단,4
교대,4
교대하다,4
교도,4
교만하다,4
교양,4
교역,4
교역하다,4
교외,4
교육부,4
교육세,4
교육장,4
교재원,4
교정,4
교제하다,4
교주,4
교차하다,4
교칙,4
교통난,4
교통로,4
교통망,4
교통순경,4
교통안전,4
교통질서,4
교통편,4
교포,4
교향곡,4
교향악,4
교향악단,4
교환,4
교황청,4
교회당,4
교훈,4
구기자,4
구김살,4
구도,4
구도,4
구독료,4
구들,4
구령,4
구름다리,4
구름판,4
구릿빛,4
구멍가게,4
구민,4
구부정하다,4
구비,4
구상,4
구상하다,4
구석기,4
구속,4
구속되다,4
구속력,4
구속하다,4
구술하다,4
구슬땀,4
구슬프다,4
구식,4
구실,4
구실,4
구애,4
구애,4
구연,4
구연동화,4
구원,4
구장,4
구전,4
구절초,4
구제하다,4
구조되다,4
구조물,4
구차하다,4
구청장,4
구축,4
구축되다,4
구현,4
구현하다,4
구형,4
구호,4
구획,4
국가,4
국가적,4
국권,4
국내산,4
국내선,4
국내외,4
국도,4
국무,4
국무총리,4
국민성,4
국민의례,4
국방부,4
국방비,4
국번,4
국법,4
국보급,4
국산품,4
국세청,4
국수장국,4
국악기,4
국악인,4
국어학,4
국영,4
국위,4
국장,4
국정,4
국제공항,4
국제기구,4
국제어,4
국호,4
국회,4
군가,4
군것질하다,4
군경,4
군기,4
군단,4
군더더기,4
군만두,4
군무,4
군민,4
군복,4
군부대,4
군불,4
군사비,4
군사적,4
군소리,4
군수,4
군수품,4
군용,4
군의관,4
군졸,4
굳은살,4
굴레,4
굴복하다,4
굴욕적,4
굴절,4
굴절되다,4
굴하다,4
굵다랗다,4
굵은소금,4
굶기다,4
굼실굼실,4
굽,4
굽실굽실,4
굽어보다,4
굽이,4
굽이굽이,4
굽이치다,4
굿판,4
굿하다,4
궁극,4
궁극적,4
궁상,4
궁상맞다,4
궁수,4
궁지,4
궁체,4
궁합,4
궂다,4
궂은비,4
권세,4
권위,4
권위자,4
권익,4
권장되다,4
궐내,4
궤,4
궤양,4
궤짝,4
귀감,4
귀금속,4
귀농,4
귀담아듣다,4
귀띔하다,4
귀부인,4
귀순,4
귀순하다,4
귀양,4
귀양살이,4
귀엣말,4
귀중,4
귀지,4
귀청,4
귀퉁이,4
귀하,4
귀향,4
귀향하다,4
귀화하다,4
귀환,4
귓등,4
귓바퀴,4
귓병,4
귓전,4
규격,4
규암,4
규율,4
규제,4
규칙성,4
규합하다,4
균등하다,4
균열,4
균형적,4
그간,4
그길로,4
그끄저께,4
그냥저냥,4
그득,4
그득하다,4
그라운드,4
그래,4
그래픽,4
그러게,4
그렁그렁,4
그루갈이,4
그루터기,4
그르다,4
그릇되다,4
그리기,4
그리도,4
그리되다,4
그리마,4
그림엽서,4
그림판,4
그만하다,4
그물망,4
그믐날,4
그믐달,4
그새,4
그야,4
그윽하다,4
그을다,4
그을리다,4
그을음,4
그이,4
그자,4
그즈음,4
그지없다,4
그지없이,4
극,4
극구,4
극단,4
극도,4
극락,4
극복되다,4
극비,4
극성,4
극심하다,4
극지방,4
극진히,4
극치,4
극한,4
근거지,4
근거하다,4
근검,4
근검하다,4
근교,4
근대,4
근대식,4
근대적,4
근대화,4
근대화되다,4
근래,4
근력,4
근면,4
근면성,4
근면하다,4
근본,4
근시,4
근심스럽다,4
근심하다,4
근엄하다,4
근원,4
근육통,4
근절,4
근접하다,4
근해,4
글감,4
글공부,4
글라디올러스,4
글라이더,4
