어휘,등급
기도,1
기도하다,1
기둥,1
기르다,1
기름,1
기린,1
기본,1
기분,1
기뻐하다,1
기쁘다,1
기쁨,1
기사,1
기술,1
기술자,1
기억,1
기억나다,1
기억되다,1
기억하다,1
기온,1
기운,1
기울다,1
기울어지다,1
기울이다,1
기저귀,1
기적,1
기절하다,1
기지,1
기지개,1
기차,1
기차놀이,1
기차역,1
기침,1
기타,1
기특하다,1
기한,1
기회,1
긴장,1
긴장되다,1
긴장하다,1
길,1
길가,1
길거리,1
길다,1
길다,1
길들이다,1
길목,1
길바닥,1
길어지다,1
길이,1
길쭉길쭉,1
길쭉하다,1
김,1
김,1
김,1
김밥,1
김장,1
김치,1
김치찌개,1
김칫국,1
깃발,1
깃털,1
깊다,1
깊숙이,1
깊어지다,1
깊이,1
깊이,1
까까,1
까꿍,1
까다,1
까다롭다,1
까닭,1
까마귀,1
까만색,1
까맣다,1
까매지다,1
까먹다,1
까불다,1
까지다,1
까치,1
깎다,1
깎이다,1
깔끔하다,1
깔다,1
깔리다,1
깜깜하다,1
깜박,1
깜빡,1
깜빡하다,1
깜짝,1
깡충깡충,1
깡통,1
깨,1
깨끗이,1
깨끗하다,1
깨다,1
깨다,1
깨닫다,1
깨뜨리다,1
깨물다,1
깨어나다,1
깨어지다,1
깨우다,1
깨지다,1
깨트리다,1
깻잎,1
꺼내다,1
꺼지다,1
꺼지다,1
꺾다,1
꺾이다,1
껌,1
껍데기,1
껍질,1
껴안다,1
꼬꼬닭,1
꼬꼬댁,1
꼬끼오,1
꼬다,1
꼬리,1
꼬마,1
꼬박꼬박,1
꼬이다,1
꼬이다,1
꼬집다,1
꼭,1
꼭,1
꼭꼭,1
꼭대기,1
꼴,1
꼴찌,1
꼼꼼하다,1
꼼꼼히,1
꼼짝,1
꼼짝없이,1
꼽히다,1
꽁꽁,1
꽂다,1
꽂히다,1
꽃,1
꽃게,1
꽃다발,1
꽃밭,1
꽃잎,1
꽃집,1
꽉,1
꽝,1
꽤,1
꽥꽥,1
꾀,1
꾸다,1
꾸미다,1
꾸역꾸역,1
꾸준하다,1
꾸준히,1
꾸짖다,1
꾹,1
꾹꾹,1
꿀,1
꿀꺽,1
꿀꿀,1
꿇다,1
꿈,1
꿈꾸다,1
꿈나라,1
꿈속,1
꿈틀거리다,1
꿰다,1
꿰매다,1
뀌다,1
끄다,1
끄덕이다,1
끄집어내다,1
끈,1
끈끈하다,1
끊기다,1
끊다,1
끊어지다,1
끌다,1
끌리다,1
끓다,1
끓이다,1
끔찍하다,1
끙끙,1
끝,1
끝나다,1
끝내,1
끝내다,1
끝마치다,1
끝없이,1
끼,1
끼다,1
끼다,1
끼다,1
끼어들다,1
끼얹다,1
끼우다,1
끼이다,1
끼치다,1
나,1
나가다,1
나날이,1
나누다,1
나뉘다,1
나다,1
나들이,1
나라,1
나란히,1
나르다,1
나머지,1
나무,1
나물,1
나뭇가지,1
나뭇잎,1
나비,1
나빠지다,1
나쁘다,1
나서다,1
나아가다,1
나아지다,1
나오다,1
나이,1
나중,1
나타나다,1
나타내다,1
나흘,1
낙서,1
낙지,1
낙타,1
낚다,1
낚시,1
난로,1
난방,1
난쟁이,1
날,1
날,1
날개,1
날다,1
날뛰다,1
날리다,1
날리다,1
날씨,1
날씬하다,1
날아가다,1
날아다니다,1
날아오다,1
날짜,1
날카롭다,1
낡다,1
남,1
남,1
남,1
남기다,1
남녀,1
남다,1
남동생,1
남매,1
남자,1
남자아이,1
남쪽,1
남편,1
남학생,1
납작하다,1
낫다,1
낫다,1
낮,1
낮다,1
낮아지다,1
낮잠,1
낮추다,1
낯설다,1
낱말,1
낳다,1
내,1
내,1
내기,1
내년,1
내놓다,1
내다,1
내다보다,1
내던지다,1
내려가다,1
내려놓다,1
내려다보다,1
내려앉다,1
내려오다,1
내리다,1
내리막길,1
내밀다,1
내버려두다,1
내버리다,1
내보내다,1
내뿜다,1
내쉬다,1
내용,1
내일,1
내주다,1
내쫓다,1
냄비,1
냄새,1
냉면,1
냉장고,1
냠냠,1
너,1
너그럽다,1
너무,1
너무나,1
너무너무,1
너무하다,1
너희,1
넉넉하다,1
넉넉히,1
널다,1
넓다,1
넓어지다,1
넓히다,1
넘겨주다,1
넘기다,1
넘다,1
넘어가다,1
넘어뜨리다,1
넘어오다,1
넘어지다,1
넘치다,1
넣다,1
네,1
네,1
네,1
네모,1
넥타이,1
넷,1
넷째,1
녀석,1
년,1
노란색,1
노랑,1
노랗다,1
노래,1
노래방,1
노래하다,1
노려보다,1
노력,1
노력하다,1
노인,1
녹다,1
녹색,1
녹음,1
녹음하다,1
녹이다,1
놀다,1
놀라다,1
놀랍다,1
놀래다,1
놀리다,1
놀리다,1
놀이,1
놀이터,1
놈,1
농구,1
농구공,1
농구장,1
농담,1
농부,1
농사,1
농사짓다,1
농장,1
농촌,1
높다,1
높아지다,1
높이,1
높이,1
높이다,1
놓다,1
놓아두다,1
놓아주다,1
놓이다,1
놓치다,1
놔두다,1
누구,1
누구누구,1
누나,1
누님,1
누다,1
누렇다,1
누르다,1
눈,1
눈,1
눈곱,1
눈동자,1
눈물,1
눈병,1
눈보라,1
눈부시다,1
눈빛,1
눈사람,1
눈싸움,1
눈싸움,1
눈썰매,1
눈썹,1
눈알,1
눈앞,1
눈치,1
눌리다,1
눕다,1
눕히다,1
뉴스,1
느끼다,1
느낌,1
느려지다,1
느리다,1
늑대,1
늘,1
늘다,1
늘리다,1
늘어나다,1
늘어놓다,1
늘어서다,1
늘어지다,1
늘이다,1
늙다,1
늙은이,1
늦다,1
늦잠,1
님,1
다,1
다가가다,1
다가서다,1
다가오다,1
다녀가다,1
다녀오다,1
다니다,1
다다르다,1
다듬다,1
다람쥐,1
다르다,1
다른,1
다리,1
다리,1
다리미,1
다만,1
다물다,1
다섯,1
다스리다,1
다시,1
다시마,1
다양하다,1
다음,1
다음날,1
다음번,1
다이아몬드,1
다이어트,1
